,Nr,xNi,T,t,Ms,cfrac,mipd
131,620.0,0.5232568099163473,682.9416090250015,-2522.4568270146847,284.96975373022514,0.252562586349791,6.585241108305291e-09
132,526.0,0.5163449747953565,679.0536084771156,-1984.0982135385275,263.30887471610123,0.1163484214553654,6.473899625681456e-09
133,530.0,0.5085430621914566,708.188298791647,-2622.840829566121,292.4581824304681,0.0364654888186797,1.5486726020763028e-08
134,545.0,0.5125580682000146,732.1633158251643,-2501.129024103284,288.7701985227831,0.0923367833157689,2.28023300939352e-08
135,557.0,0.5097609069151804,711.7122226580977,-3577.8151877224445,315.8068061282805,0.0924856273001615,1.4902034976567192e-08
136,580.0,0.5331184328999371,692.5543585792184,-3220.370439067483,305.14969007481824,0.4256985274084262,8.010501928992981e-09
137,589.0,0.5099165182886646,735.1073978468776,-2068.4972897171974,265.14557476886864,0.0157678200719509,3.39324400705227e-08
138,595.0,0.5230828188313171,737.0758701488376,-3483.137148991227,320.68149269438857,0.294508219462761,2.3709296978751576e-08
139,631.0,0.5357718542264774,714.5170650631189,-3351.817161217332,311.00682450848564,0.4708813952496172,1.3154646303187697e-08
140,529.0,0.5142766121542082,715.1486838236451,-1758.507088199258,280.53650811875985,0.1067647123350843,1.3112443349699548e-08
141,563.0,0.5247401239303873,717.4632623419166,-2176.798650249839,277.7633050193096,0.2670482759072689,1.3410309074049956e-08
142,641.0,0.5137724225316197,736.2043634429574,-1285.629005357623,212.63399337320303,0.0269543225895468,2.7601261150717423e-08
143,675.0,0.525982803395018,733.8900142535567,-2653.1923580914736,275.4673739196786,0.2839705391057366,2.1756189599710785e-08
144,689.0,0.5154902791697532,718.5930074378848,-2133.71797464788,300.44976458873384,0.1545863632691334,1.39456554432264e-08
145,617.0,0.5198150296928361,712.7797616273165,-1954.616166651249,287.99145345352605,0.2031828685265529,1.1761590944042926e-08
146,622.0,0.5146026979852468,655.543992370367,-3155.966201797128,273.6624687080196,0.1021578122588239,4.7936598607675305e-09
147,636.0,0.5268710618373007,670.3614264726639,-2861.5192841738462,174.62532180184155,0.2323710231899468,6.298818084071516e-09
148,651.0,0.5302276230417192,731.7858482152224,-3304.084599763155,301.8337645367279,0.378804758886732,2.0904970900291644e-08
149,658.0,0.5090335813490674,670.6411607563496,-3216.8180979788303,301.4464184183013,0.0586272857094124,6.6024802534036234e-09
150,676.0,0.531022091046907,678.4966941550374,-3012.5497698783875,228.1259140994636,0.3260450512927795,6.752437292219611e-09
151,694.0,0.5217449266882613,663.3176115527749,-3560.0667156279087,295.453973101676,0.2426300847138903,4.9139123544914836e-09
