Unnamed: 0,Nr,xNi,T,t,Ms,cfrac,mipd
99,10370.0,0.5153947742981836,678.3565300703049,-1401.7184983938932,190.6099093878336,0.0419284196321123,7.754552569933327e-09
100,10371.0,0.5406243527587503,715.3460444509983,-3116.923125833273,245.45781918574352,0.494740123552202,1.4196936150702711e-08
101,10376.0,0.5285933721158653,665.138476639986,-3491.072253137827,221.45750817084743,0.2816799071803426,5.648986445071938e-09
102,10378.0,0.5208797800028697,689.8401446640491,-2411.077782511711,302.307189412862,0.2384894997527111,7.3393784452344564e-09
103,10388.0,0.5356705068331212,693.4445722401142,-2852.540408447385,207.275461728662,0.3943969385108933,9.003225251775693e-09
104,10394.0,0.5196275262255222,656.0044238343835,-2970.2647145837545,202.41549277637768,0.1200713417969477,5.2659768571577575e-09
105,10397.0,0.5160394022474065,711.5072418749332,-2644.2666303366423,322.2273439482055,0.1938794665610033,1.1618490367150725e-08
106,10398.0,0.5112188831483946,680.2844232320786,-1141.942884027958,244.2282886657489,0.0111025013625674,9.340059245032317e-09
107,10400.0,0.5244160259095952,677.8771543875337,-2473.844128847122,240.5595400397736,0.2248804301827562,6.463973411260711e-09
108,10402.0,0.5166141330450773,687.4066388979554,-3556.035435944796,333.21090127179275,0.2171247529699278,7.103049953141095e-09
109,10405.0,0.5186463294504211,740.0971876084805,-2080.3035490214825,248.811353702325,0.1375066890901043,2.6257183477418825e-08
110,10413.0,0.5132382211694494,729.0821531414986,-1282.7122706919909,231.54004690007773,0.0322959093382094,2.1753574674440042e-08
111,10414.0,0.5083730915701017,700.2021734416485,-2559.929526597261,293.586049677284,0.0357162929411405,1.2788533551688953e-08
112,10416.0,0.5259322837367654,696.5409760177135,-3032.591661438346,324.12340832656736,0.3400175330015778,8.40364622968822e-09
113,10418.0,0.512637624363415,661.2430445849895,-1864.3778342753649,235.2429060294092,0.0256189914280535,6.491013011816029e-09
114,1042.0,0.5136079158214852,693.729743026197,-3456.73320516944,331.07095798636493,0.171169746259771,8.283182844876276e-09
115,10421.0,0.5202940798923373,721.2575775757432,-3313.618401065469,332.2081046565619,0.2684336204230635,1.4552246032741116e-08
116,10430.0,0.5096260640956461,673.9797509089112,-2900.735761597753,299.2955238355583,0.0640955768590841,6.742253619311476e-09
117,10434.0,0.5141903813136741,705.2416260913014,-2090.3866298496723,301.1529774067543,0.1359912514367776,1.0351169664730353e-08
118,10439.0,0.5309924124879762,716.835301220417,-2371.420316398144,210.11337200190013,0.3164203737472459,1.4426347218097866e-08
119,10443.0,0.5339984793402255,729.8063744977117,-3184.709434211254,268.5144254614953,0.4040044623782307,2.0199452173014185e-08
120,10448.0,0.5277243651030585,691.8906125426292,-2698.2046332210302,293.60441677711884,0.3316689802841954,7.748483014254699e-09
121,10450.0,0.5129823838174343,671.5194389224052,-3331.604852154851,315.0356767706692,0.1387433433202464,5.7849577134643e-09
122,10453.0,0.5220257351128385,725.9675647690892,-1854.2382393032312,242.2363405414484,0.186879675226343,1.700204389309508e-08
123,10462.0,0.5100173440342769,654.3293865397573,-2337.8764528781176,265.66170073959654,0.0181031167571492,6.205056186269804e-09
124,10465.0,0.5107719870191068,742.7068173885345,-3247.200693190098,275.3468402862253,0.0441336646817206,3.9497878582709694e-08
125,10469.0,0.5192026028363035,714.4863883033395,-1418.8343580812216,210.098403330037,0.1171031041965517,1.310999529539188e-08
126,1047.0,0.5305174123821781,727.8270503133535,-2837.7599984407425,273.3301818220201,0.3532778927553656,1.8541862685649448e-08
127,10474.0,0.5212628643680364,701.9915372133255,-2742.936238646508,324.37299743564967,0.2725940973426245,9.262600098000152e-09
128,10479.0,0.5267211939115077,720.1513152197003,-3586.4630185067654,333.0055312516367,0.3612532379158253,1.4528923600011542e-08
129,10482.0,0.5113891358627006,694.2292032018304,-1625.544847548008,272.10811123677445,0.049124172838551,9.304468553612058e-09
130,10488.0,0.5319846331421286,681.1404680088162,-3268.90690214932,281.46981883251163,0.3844580888120232,6.5795640163380215e-09
131,10490.0,0.5171541226143017,675.7144128158689,-2633.3098467439413,298.2469382374297,0.1766095913472202,5.88408373246537e-09
