,Nr,T1,T2,t1,t2,c,sigma_pc,tges,cfrac,M_sigma_pc_0,M_sigma_pc_1,M_sigma_pc_2,M_sigma_pc_3,M_sigma_pc_4,M_sigma_pc_5,M_sigma_pc_6,M_sigma_pc_7,M_sigma_pc_8,M_sigma_pc_9,M_cfrac_0,M_cfrac_1,M_cfrac_2,M_cfrac_3,M_cfrac_4,M_cfrac_5,M_cfrac_6,M_cfrac_7,M_cfrac_8,M_cfrac_9
25,25.0,408.08522310107946,354.2226862162352,2.857037650467828,2.1902500516890235,0.0021087080556899,94.09779213217335,5.047287702156852,-0.008034577731709,109.67835235595705,112.52393341064452,121.11279296875,104.73551940917967,106.65977478027344,90.07638549804688,107.11981201171876,97.06388092041016,107.32447814941406,96.56575012207033,0.0075511103495955,0.0072298287414014,0.0067726881243288,0.00685765594244,0.0062922048382461,0.0069746770896017,0.0069746770896017,0.0069746770896017,0.0062663699500262,0.0062663699500262
26,26.0,468.3469304814935,462.38657776266336,2.087050565704703,4.654429918248207,0.0025683035273104,65.65749127415225,6.74148048395291,-0.0088594486397139,60.46286392211914,57.96780014038086,48.42277145385742,56.70063400268555,70.49675750732422,101.4465103149414,113.6796875,143.9850616455078,130.71597290039062,96.56575012207033,0.0086487596854567,0.0086285676807165,0.0085561079904437,0.0093339020386338,0.0093338890001177,0.0084948157891631,0.0084948157891631,0.0084948157891631,0.0062663699500262,0.0062663699500262
27,27.0,371.961953677237,336.7385929450393,4.158038266018654,0.6639895026572049,0.0011395836453884,16.51396954265182,4.822027768675858,-0.0005795950213031,33.00669860839844,47.46841049194336,42.35020446777344,52.72648239135742,41.4888916015625,31.664682388305664,63.51142883300781,28.347654342651367,58.00007247924805,96.56575012207033,0.0017076459480449,0.0007884648512117,0.002037621801719,0.0016361287562176,0.0018376481020823,0.0037692405749112,0.0037692405749112,0.0037692405749112,0.0062663699500262,0.0062663699500262
28,28.0,391.7423788458109,487.5406136736274,3.598166859429329,0.4573067604719351,0.0012789057251065,20.763907408471443,4.055473619901265,-0.0031968192533169,16.949247360229492,28.092891693115234,23.022857666015625,18.78157615661621,22.47380256652832,35.95470428466797,67.67716979980469,35.7027587890625,65.09098815917969,96.56575012207033,0.0022873885463923,0.002122136298567,0.0025620416272431,0.0023867795243859,0.0023144457954913,0.0042300564236938,0.0042300564236938,0.0042300564236938,0.0062663699500262,0.0062663699500262
29,29.0,498.467143252492,313.13814017921686,0.1937313966297855,4.257648095659291,0.0029594999793916,61.07875147889909,4.451379492289076,-0.0100885214136234,84.4006576538086,75.56971740722656,65.8000717163086,115.28933715820312,180.1830291748047,118.91683959960938,123.07958221435548,191.18833923339844,150.62625122070312,96.56575012207033,0.0113933980464935,0.011822996661067,0.0103009734302759,0.0114416219294071,0.0123938610777258,0.0097887217998504,0.0097887217998504,0.0097887217998504,0.0062663699500262,0.0062663699500262
30,30.0,427.4750597774983,420.6436034291983,4.740473932214082,1.735374033668389,0.0024962439481168,121.8993956126874,6.475847965882471,-0.0090874919870004,110.62828063964844,107.89337158203124,97.6209716796875,89.65961456298828,96.59310913085938,115.0355987548828,121.05435943603516,136.0187530517578,127.0484390258789,96.56575012207033,0.0088552767410874,0.0086897322908043,0.0086131775751709,0.0089456532150506,0.0088174697011709,0.0082564745098352,0.0082564745098352,0.0082564745098352,0.0062663699500262,0.0062663699500262
31,31.0,331.4837120473385,395.85012197494507,1.5020307772637655,2.960111789871007,0.001803928380832,161.50281013161438,4.462142567134773,-0.0065076749636896,141.8574676513672,134.03421020507812,124.24244689941406,131.12030029296875,94.72723388671876,99.90654754638672,112.81356048583984,71.03351593017578,91.8124542236328,96.56575012207033,0.0063815745525062,0.0061088306829333,0.0059825899079442,0.0052155395969748,0.0046047763898968,0.0059666000306606,0.0059666000306606,0.0059666000306606,0.0062663699500262,0.0062663699500262
32,32.0,335.9846005216241,494.6461867541075,0.3943406541987012,4.985920280978704,0.0028589356932789,64.25575119342504,5.380260935177406,-0.0094257059913874,75.34696197509766,45.750091552734375,131.43919372558594,175.94256591796875,148.3210906982422,244.2585601806641,176.3961944580078,178.41587829589844,145.50794982910156,96.56575012207033,0.009368572384119,0.0098566971719264,0.0115103935822844,0.010899793356657,0.0115658808499574,0.0094560990110039,0.0094560990110039,0.0094560990110039,0.0062663699500262,0.0062663699500262
33,33.0,429.22665122896433,320.29414623975754,3.3942071055683,0.9553961376504352,0.0014107152428478,26.87339887715244,4.349603243218735,-0.0003655456275319,36.003997802734375,42.03863143920898,52.95723342895508,50.17630386352539,52.77516174316406,36.44056701660156,68.13290405273438,43.44136428833008,71.79954528808594,96.56575012207033,0.0024240238126367,0.0024401871487498,0.0028570657595992,0.0030969537328928,0.0028161038644611,0.0046660243533551,0.0046660243533551,0.0046660243533551,0.0062663699500262,0.0062663699500262
34,34.0,493.9767425879836,415.05309995263815,1.694427606044337,3.475462739045421,0.0018888664152473,60.42947654672721,5.169890345089758,-0.006757291520807,35.54298782348633,24.208213806152344,24.163522720336918,25.955717086791992,42.54067611694336,49.32524490356445,79.2681884765625,77.8802261352539,96.1354522705078,96.56575012207033,0.0051028714515268,0.0049656210467219,0.0046904673799872,0.0056731752119958,0.0050486172549426,0.0062475376762449,0.0062475376762449,0.0062475376762449,0.0062663699500262,0.0062663699500262
35,35.0,389.9837335571647,390.31005445867777,4.548984826542437,2.4853180896490814,0.0023175530526787,152.2505190846511,7.034302916191519,-0.0086525482334399,145.1876678466797,142.75051879882812,137.55445861816406,119.9169464111328,116.19010162353516,119.13685607910156,123.19338989257812,117.2422332763672,117.95381927490234,96.56575012207033,0.0085906265303492,0.0082993535324931,0.0080704465508461,0.0079828882589936,0.0076002753339707,0.0076654441654682,0.0076654441654682,0.0076654441654682,0.0062663699500262,0.0062663699500262
36,36.0,370.6039912998676,434.823633171618,2.733984065226589,1.4416101051028818,0.0022093308735638,145.99550673960698,4.175594170329472,-0.0077150970756474,134.80270385742188,127.68289184570312,114.6649398803711,110.48054504394533,94.2100601196289,119.88948822021484,123.58190155029295,106.54823303222656,112.44576263427734,96.56575012207033,0.0075399782508611,0.0074755009263753,0.0077061057090759,0.0073997997678816,0.0069070318713784,0.0073074926622211,0.0073074926622211,0.0073074926622211,0.0062663699500262,0.0062663699500262
37,37.0,463.4524129331112,359.617136977613,1.0571501930244267,2.6309785907622425,0.0015285817813128,95.2313560428032,3.688128783786669,-0.0055157789125855,38.56440353393555,30.75083923339844,36.72649002075195,31.20595932006836,42.160770416259766,36.6983757019043,68.37348937988281,51.00374603271485,77.7984619140625,96.56575012207033,0.0033117365092039,0.0031907642260193,0.0031133107841014,0.0037320046685636,0.0033063383307307,0.0050558750517666,0.0050558750517666,0.0050558750517666,0.0062663699500262,0.0062663699500262
38,38.0,409.456342831254,455.4266214370728,4.041372158393885,0.1696146318068107,0.0010545844566076,0.2650316845670797,4.210986790200695,-6.419368088410022e-07,-0.5414759516716003,18.87549591064453,13.422630310058594,3.660224437713623,16.029977798461914,22.37830924987793,53.39221954345703,24.27657699584961,53.67396545410156,96.56575012207033,0.0007151250028982,0.0005873035406693,0.0011866388376802,0.0011781632201746,0.0015737388748675,0.0034881005994975,0.0034881005994975,0.0034881005994975,0.0062663699500262,0.0062663699500262
39,39.0,305.85085935890675,329.8291202634573,2.1997578599800667,3.922442038481434,0.0027470498550683,364.1257741675312,6.122199898461501,-0.0106655918366742,356.5567321777344,351.8295288085937,359.3530578613281,350.2797546386719,371.67034912109375,272.1406555175781,186.1920166015625,164.72434997558594,139.81341552734375,96.56575012207033,0.011241459287703,0.0114394044503569,0.011241914704442,0.0102969659492373,0.0106783220544457,0.0090860305353999,0.0090860305353999,0.0090860305353999,0.0062663699500262,0.0062663699500262
